ticker,country,complete,completion_pct,missing
MU,US,non,80,ir_page_snapshot
MUFG,FPI,non,67,ir_page_snapshot
MUV2.DE,EU,non,67,ir_page_snapshot
NBIX,US,OUI,100,
NCLH,US,OUI,100,
NDA-DK.CO,EU,OUI,100,
NDA-FI.HE,EU,OUI,100,
NDA-SE.ST,EU,OUI,100,
NDAQ,US,non,80,ir_page_snapshot
NDSN,US,non,60,ir_page_snapshot|home_page_snapshot
NEE,US,non,80,ir_page_snapshot
NEM,US,non,80,ir_page_snapshot
NESTE.HE,EU,OUI,100,
NFLX,US,non,80,home_page_snapshot
NG.L,UK,OUI,100,
NHY.OL,EU,OUI,100,
NI,US,OUI,100,
NKE,US,non,80,ir_page_snapshot
NLY,US,OUI,100,
NMR,FPI,OUI,100,
NN.AS,EU,OUI,100,
NOC,US,OUI,100,
NOKIA.HE,EU,OUI,100,
NOW,US,non,60,ir_page_snapshot|home_page_snapshot
NRG,US,non,80,ir_page_snapshot
NSC,US,OUI,100,
NTAP,US,non,60,ir_page_snapshot|home_page_snapshot
NTNX,US,non,80,ir_page_snapshot
NTRS,US,OUI,100,
NUE,US,OUI,100,
NVDA,US,non,80,ir_page_snapshot
NVR,US,non,80,ir_page_snapshot
NVS,FPI,OUI,100,
NWG.L,UK,OUI,100,
NWS,US,OUI,100,
NWSA,US,OUI,100,
NXPI,FPI,non,33,ir_page_snapshot|home_page_snapshot
NYT,US,OUI,100,
O,US,OUI,100,
ODFL,US,OUI,100,
OHI,US,OUI,100,
OKE,US,non,80,ir_page_snapshot
OMC,US,non,80,ir_page_snapshot
ON,US,non,60,ir_page_snapshot|home_page_snapshot
ONTO,US,non,80,ir_page_snapshot
OR.PA,EU,OUI,100,
ORCL,US,non,60,ir_page_snapshot|home_page_snapshot
ORLY,US,non,60,ir_page_snapshot|home_page_snapshot
OSK,US,OUI,100,
OTIS,US,OUI,100,
OXY,US,OUI,100,
PAH3.DE,EU,OUI,100,
PANW,US,non,80,ir_page_snapshot
PAYX,US,OUI,100,
PBR,FPI,non,67,ir_page_snapshot
PCAR,US,OUI,100,
PCG,US,OUI,100,
PEG,US,non,60,ir_page_snapshot|home_page_snapshot
PEP,US,OUI,100,
PFE,US,OUI,100,
PFG,US,non,80,ir_page_snapshot
PG,US,non,80,ir_page_snapshot
PGR,US,non,80,ir_page_snapshot
PH,US,non,60,ir_page_snapshot|home_page_snapshot
PHIA.AS,EU,OUI,100,
PHM,US,non,60,ir_page_snapshot|home_page_snapshot
PKG,US,non,80,ir_page_snapshot
PLD,US,non,60,ir_page_snapshot|home_page_snapshot
PLTR,US,OUI,100,
PM,US,OUI,100,
PNC,US,non,60,ir_page_snapshot|home_page_snapshot
PNR,US,non,80,ir_page_snapshot
PNW,US,non,60,ir_page_snapshot|home_page_snapshot
PODD,US,non,80,ir_page_snapshot
POOL,US,non,80,ir_page_snapshot
POWL,US,non,80,ir_page_snapshot
PPG,US,non,80,ir_page_snapshot
PPL,US,OUI,100,
PRU,US,non,80,ir_page_snapshot
PRY.MI,EU,OUI,100,
PSA,US,OUI,100,
PSKY,US,non,40,proxy_statement|ir_page_snapshot|home_page_snapshot
PSTG,US,non,80,ir_page_snapshot
PSX,US,OUI,100,
PTC,US,non,80,ir_page_snapshot
PWR,US,OUI,100,
PYPL,US,OUI,100,
Q,US,non,80,ir_page_snapshot
QCOM,US,OUI,100,
RBA,US,non,80,ir_page_snapshot
